route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
205_0,1,734,Martim Moniz - Estação Sta. Apolónia,,3,,,
178_3,1,724,Estação Benfica - Av. Gomes Pereira - Lisboa Clube Ténis,,3,,,
76_0,1,15E,Pç. Figueira - Algés,,3,,,
205_4,1,734,Igreja Anjos - R. Angelina Vidal,,3,,,
164_0,1,716,Alameda D. A. Henriques - Benfica,,3,,,
220_0,1,73B,Centro Congressos / circulação Qta. Jacinto,,3,,,
105_0,1,718,ISEL - Estação Roma-Areeiro,,3,,,
66_0,1,210,Cais Sodré - Prior Velho,,3,,,
278_0,1,71B,Colégio Militar (Metro) / circulação B. Boavista - B. Sta. Cruz,,3,,,
198_0,1,730,Picheleira - Pç. José Fontana,,3,,,
79_0,1,25E,Pç Figueira - Campo Ourique (Prazeres),,3,,,
122_0,1,713,Alameda D. A. Henriques - Estação Campolide,,3,,,
221_0,1,79B,Algés / circulação Caselas,,3,,,
100_0,1,708,Martim Moniz - Sacavém (Urb. Real Forte),,3,,,
100_1,1,708,Av. Alm. Gago Coutinho - Sacavém (Urb. Real Forte),,3,,,
100_3,1,708,Estação Oriente - Sacavém (Urb. Real Forte),,3,,,
203_0,1,783,Amoreiras - Prior Velho,,3,,,
203_2,1,783,Picoas - Qta. Morgado,,3,,,
203_3,1,783,Av. Liberdade - Qta. Morgado,,3,,,
121_4,1,723,Marquês Pombal - Av. Torre Belém,,3,,,
279_0,1,72B,Colégio Militar (Metro) / circulação B. Sta. Cruz - B. Boavista,,3,,,
121_1,1,723,R. Joaquim António Aguiar - Montes Claros,,3,,,
121_0,1,723,Desterro - Algés,,3,,,
158_0,1,51E,Glória - Restauradores / circulação Lg. Carmo,,3,,,
107_2,1,732,Rossio - Estação Sto. Amaro,,3,,,
107_0,1,732,Hosp. Sta. Maria - Caselas,,3,,,
144_0,1,759,Restauradoures - Estação Oriente,,3,,,
179_0,1,778,Campo Grande (Metro) - Colégio Militar (Metro),,3,,,
247_0,1,17B,Alameda D. A. Henriques / circulação Desterro,,3,,,
200_0,1,744,Restauradores - Moscavide,,3,,,
238_0,1,64B,Campo Ourique / circulação Qta. Loureiro,,3,,,
165_0,1,703,Charneca - B. Sta. Cruz,,3,,,
60_0,1,201,Cais Sodré - Linda-a-Velha,,3,,,
102_4,1,714,R. Junqueira (Centro Congressos) - B. Alto Moinho,,3,,,
102_0,1,714,Cais Sodré - Outurela,,3,,,
201_2,1,754,Sete Rios - Estr. Alfragide (Buraca),,3,,,
